,IT8603E,IT8606E,IT8607E,IT8613E,IT8620E,IT8622E,IT8625E,IT8626E,IT8628E,IT8655E,IT8665E,IT8686E,IT8732,IT8790E,IT8792E
FAN1_TAC_EN,,0x13[4],0x13[4],-,0x13[4],0x13[4],,,0x13[4],0x13[4],0x13[4],0x13[4],0x13[4],0x13[4],0x13[4]
FAN2_TAC_EN,,0x13[5],0x13[5],0x13[5],0x13[5],0x13[5],,,0x13[5],0x13[5],0x13[5],0x13[5],0x13[5],0x13[5],0x13[5]
FAN3_TAC_EN,,0x13[6],0x13[6],0x13[6],0x13[6],0x13[6],,,0x13[6],0x13[6],0x13[6],0x13[6],0x13[6],0x13[6],0x13[6]
FAN4_TAC_EN,,0x0c[4],,0x0c[4],0x0c[4],0x0c[4],,,0x0c[4],-,0x0c[4],0x0c[4],0x0c[4],-,-
FAN5_TAC_EN,,0x0c[5],,0x0c[5],0x0c[5],0x0c[5],,,0x0c[5],-,0x0c[5],0x0c[5],-,-,-
FAN6_TAC_EN,,,,,0x0c[2],-,0x0b[3]/0xd3[1],,0x0c[2],-,0x0b[3],0x0c[2],-,-,-
FAN6_CTL_EN,,,,,0x0b[3],,0xd3[0],,,,,,-,-,-
FAN1_TAC,,0x18/0x0d,0x18/0x0d,,0x18/0x0d,0x18/0x0d,,,0x18/0x0d,0x18/0x0d,0x18/0x0d,0x18/0x0d,0x18/0x0d,0x18/0x0d,0x18/0x0d
FAN2_TAC,,0x19/0x0e,0x19/0x0e,0x19/0x0e,0x19/0x0e,0x19/0x0e,,,0x19/0x0e,0x19/0x0e,0x19/0x0e,0x19/0x0e,0x19/0x0e,0x19/0x0e,0x19/0x0e
FAN3_TAC,,0x1a/0x0f,0x1a/0x0f,0x1a/0x0f,0x1a/0x0f,0x1a/0x0f,,,0x1a/0x0f,0x1a/0x0f,0x1a/0x0f,0x1a/0x0f,0x1a/0x0f,0x1a/0x0f,0x1a/0x0f
FAN4_TAC,,0x81/0x80,,0x81/0x80,0x81/0x80,0x81/0x80,,,0x81/0x80,-,0x81/0x80,0x81/0x80,0x81/0x80,-,-
FAN5_TAC,,0x83/0x82,,0x83/0x82,0x83/0x82,0x83/0x82,,,0x83/0x82,-,0x83/0x82,0x83/0x82,-,-,-
FAN6_TAC,,,,,0x4c/0x4d,-,0x94/0x93,,0x4d/0x4c,-,0x94/0x93,0x4d/0x4c,-,-,-
FAN1_LIMIT,,0x1b/0x10,0x1b/0x10,,0x1b/0x10,0x1b/0x10,,,0x1b/0x10,0x1b/0x10,0x1b/0x10,0x1b/0x10,0x1b/0x10,0x1b/0x10,0x1b/0x10
FAN2_LIMIT,,0x1c/0x11,0x1c/0x11,0x1c/0x11,0x1c/0x11,0x1c/0x11,,,0x1c/0x11,0x1c/0x11,0x1c/0x11,0x1c/0x11,0x1c/0x11,0x1c/0x11,0x1c/0x11
FAN3_LIMIT,,0x1d/0x12,0x1d/0x12,0x1d/0x12,0x1d/0x12,0x1d/0x12,,,0x1d/0x12,0x1d/0x12,0x1d/0x12,0x1d/0x12,0x1d/0x12,0x1d/0x12,0x1d/0x12
FAN4_LIMIT,,,,0x85/0x84,0x85/0x84,0x85/0x84,,,0x85/0x84,-,0x85/0x84,0x85/0x84,0x85/0x84,-,-
FAN5_LIMIT,,,,0x87/0x86,0x87/0x86,0x87/0x86,,,0x87/0x86,-,0x87/0x86,0x87/0x86,-,-,-
FAN6_LIMIT,,,,,0x4f/0x4e,-,0xb3/0xb2,,0x4f/0x4e,-,0xb3/0xb2,0x4f/0x4e,-,-,-
FAN1_PWM_CTL,,0x15,0x15,,0x15,0x15,,,0x15,0x15,0x15,0x15,0x15,0x15,0x15
